slate_date,scope,class,keeper_id8,keeper_written_utc,live_id8,live_written_utc,same_picks,keeper_picks,live_picks,adaptive_tracking_rows_by_hash(n/hits),status
2026-04-19,allday,post->pre,45dc05a6,2026-04-19 13:12:42,5e00c1ed,2026-04-19 21:18:10,yes,"389,830,589,489,898,838","389,830,589,489,898,838",-2108D8F0:2/2,planned
2026-04-19,evening,pre->pre(later),ddda8493,2026-04-19 21:20:35,9666e452,2026-04-19 18:48:58,no,"389,064,380,564,227,446","487,837,389,064,227,446",20B0F5C8:1/1,planned
2026-04-19,midday,post->pre,6841a786,2026-04-19 11:52:52,dab0f81e,2026-04-19 20:19:31,yes,"524,445,435,768,574,448","524,445,435,768,574,448",none,planned
2026-04-20,allday,post->pre,c380b52c,2026-04-20 10:45:10,7e771091,2026-04-20 20:32:56,no,"389,482,589,381,848,898","389,830,482,854,848,898",5BC6A0F8:2/2,planned
2026-04-20,evening,pre->pre(later),abbaf93f,2026-04-20 20:37:14,f7387f58,2026-04-20 10:38:35,no,"064,564,227,178,246,446","389,064,564,227,178,446",none,planned
2026-04-20,midday,post->pre,3ae1b2c1,2026-04-20 10:39:57,7b808537,2026-04-20 20:32:55,no,"415,524,445,435,768,448","415,485,524,445,435,448",none,planned
2026-04-21,allday,post->pre,1ec1ccd2,2026-04-21 04:59:11,5335a11a,2026-04-21 21:47:50,no,"830,854,589,381,848,898","389,830,482,854,848,898",none,planned
2026-04-21,evening,pre->pre(later),12e7d946,2026-04-21 21:51:11,00c24adc,2026-04-21 04:59:10,no,"064,246,446,440,864,287","487,064,564,178,446,440",4277DD70:3/3,planned
2026-04-21,midday,post->pre,15e6431b,2026-04-21 05:01:55,2a584345,2026-04-21 21:47:49,no,"415,485,524,445,574,448","415,485,524,445,435,448",none,planned
2026-04-22,allday,pre->pre(later),99b2bb1a,2026-04-22 11:17:42,40c5649c,2026-04-22 11:17:19,no,"854,848,798,898,647,864","854,489,487,848,798,898",-249A465A:1/1,planned
2026-04-22,evening,pre->pre(later),e0011293,2026-04-22 11:17:31,7ecae5e6,2026-04-22 11:17:19,no,"227,864,201,477,764,495","564,227,178,864,487,477",32A97B04:1/1,planned
2026-04-22,midday,pre->pre(later),4ce26419,2026-04-22 11:18:58,edfa0a91,2026-04-22 11:17:30,yes,"415,485,524,445,435,448","415,485,524,445,435,448",7CFF5A68:1/1,planned
2026-04-23,allday,post->pre,7e5c3533,2026-04-23 10:52:30,27764939,2026-04-23 21:35:42,yes,"389,830,482,854,848,898","389,830,482,854,848,898",1A48D1DD:2/2,planned
2026-04-23,evening,pre->pre(later),75a2e5b9,2026-04-23 21:36:29,fbf5254e,2026-04-23 10:51:43,no,"495,221,864,178,487,001","227,178,864,201,487,477",937DBDC:2/2,planned
2026-04-23,midday,post->pre,69bec548,2026-04-23 10:52:01,9ad601fa,2026-04-23 21:35:22,no,"485,524,445,435,574,448","485,524,435,703,448,445",none,planned
2026-04-24,allday,pre->pre(later),5d4abe80,2026-04-24 07:22:53,7bbdbfb0,2026-04-24 07:11:54,no,"830,482,854,381,387,848","389,830,482,854,381,848",FCE726:2/2,planned
2026-04-24,evening,pre->pre(later),ce72a696,2026-04-24 17:55:09,6d4197ba,2026-04-24 06:39:43,no,"140,495,564,864,487,221","140,495,564,864,221,227",none,planned
2026-04-24,midday,pre->pre(later),cc4250b8,2026-04-24 07:22:40,7dd3a47c,2026-04-24 06:51:11,yes,"485,524,435,703,574,448","485,524,435,703,574,448",none,planned
2026-04-25,allday,post->pre,91347f24,2026-04-25 12:32:44,e660ea9d,2026-04-25 23:41:08,no,"589,858,852,412,689,580","445,589,834,852,418,412",none,planned
2026-04-25,evening,post->pre,f2adec27,2026-04-25 17:28:19,37472f65,2026-04-25 23:29:33,yes,"201,818,487,389,287,864","201,818,487,389,287,864",-62D55763:1/1,planned
2026-04-25,midday,post->pre,7a1a422b,2026-04-25 12:33:14,6935b2bf,2026-04-25 23:29:51,no,"440,574,465,761,762,751","435,947,707,485,574,465",-5FE71CD9:1/1,planned
2026-04-26,evening,pre->pre(later),92b67666,2026-04-26 20:28:12,abed8e0c,2026-04-26 05:46:54,no,"837,302,388,276,179,292","837,302,388,728,276,179",386BFDEC:1/1,planned
2026-04-27,allday,post->pre,53da795c,2026-04-27 11:25:01,727e4e50,2026-04-27 21:53:11,yes,"645,372,739,738,423,788","645,372,739,738,423,788",none,planned
2026-04-27,midday,pre->pre(later),3000e703,2026-04-27 11:23:50,8c7e037d,2026-04-27 11:23:09,yes,"752,204,325,349,083,303","752,204,325,349,083,303",-7A805D0E:1/1,planned
2026-04-28,allday,post->pre,43eb542c,2026-04-28 11:59:26,bbfb83e9,2026-04-28 22:07:09,no,"645,296,372,739,248,788","872,645,854,298,372,788",none,planned
2026-04-30,midday,post->pre,b702aa89,2026-04-30 10:40:49,ec66f340,2026-04-30 23:12:13,no,"752,412,349,802,075,393","752,412,349,094,802,227",none,planned
2026-05-01,allday,no-live->pre(restore only),fb4d2685,2026-05-01 10:45:31,,,n/a,"872,245,469,645,298,788",,none,planned
2026-05-01,evening,no-live->pre(restore only),53d941c6,2026-05-01 10:45:27,,,n/a,"920,605,105,830,833,018",,none,planned
2026-05-01,midday,no-live->pre(restore only),c680dc24,2026-05-01 10:45:23,,,n/a,"349,075,802,094,079,227",,none,planned
2026-05-02,allday,pre->pre(later),846f088a,2026-05-02 07:18:16,b02edf75,2026-05-02 06:59:36,yes,"872,298,738,739,423,011","872,298,738,739,423,011",63EB64C6:1/1,planned
2026-05-07,allday,post->pre,84b61f0b,2026-05-07 05:02:02,8b4adecb,2026-05-08 03:35:45,no,"698,874,542,062,395,044","698,874,695,074,826",none,planned
2026-05-07,evening,post->pre,2fc4d0d1,2026-05-07 20:54:14,e818a329,2026-05-08 01:38:32,no,"920,505,502,050,926,056","924,847,049,916,926,020",172EFFD6:1/1,planned
2026-05-07,midday,post->pre,ce46c21c,2026-05-07 05:02:02,6d659688,2026-05-08 01:38:32,no,"395,937,997,324,911,074","574,159,498,305,395,822",7F385D78:1/1,planned
2026-05-09,allday,post->pre,9aea551b,2026-05-09 09:07:51,546c24d1,2026-05-09 16:19:15,no,"698,695,074,824,395","698,695,074,824,395,874",875AB0FB:2/2,planned
2026-05-09,midday,post->pre,208b6801,2026-05-09 09:12:25,94961239,2026-05-09 16:19:04,no,"574,159,592,954,395","574,159,592,954,395,937",366CA33E:1/1,planned
2026-05-11,evening,post->pre,15cee48f,2026-05-11 18:03:56,f8e717b5,2026-05-12 03:09:23,no,"924,926,615,847,956","165,619,853,053,659,609",D5A4639D:2/0,planned
2026-05-12,allday,post->pre,1b03ee20,2026-05-12 06:15:44,fd60a39c,2026-05-12 23:31:28,no,"593,074,087,053,487,425","916,047,926,824,826,289",F5CB1E78:2/2,planned
2026-05-12,evening,post->pre,0de075fd,2026-05-12 21:37:02,29fa67ea,2026-05-12 23:31:27,no,"053,641,526,798,191,494","926,734,289,619,912,723",9EBFCC70:3/3,planned
2026-05-12,midday,post->pre,68e0f854,2026-05-12 05:56:23,a0bbab24,2026-05-12 23:31:24,no,"754,350,159,287,145,397","320,284,825,439,395,820",869A9AF3:1/1,planned
2026-05-13,allday,post->pre,7e5caad8,2026-05-13 06:08:10,ffcb4336,2026-05-14 01:48:06,no,"926,916,047,824,924,974","824,926,516,936,538,586",2EA69971:6/1 D529F35:3/3,planned
2026-05-13,evening,post->pre,45c3cc69,2026-05-13 20:33:15,240f1f28,2026-05-14 01:48:04,no,"912,586,962,371,024,879","586,371,962,034,843,934",29D885F1:6/0 34053779:6/1,planned
2026-05-13,midday,post->pre,fd643c28,2026-05-13 06:08:07,be5cfced,2026-05-14 01:48:02,no,"320,325,284,218,395,439","824,218,518,578,081,287",7ADD96DF:6/0 A55AF7F7:6/0 7CB06351:6/0,planned
2026-05-14,allday,post->pre,46628530,2026-05-14 10:07:27,6aec3257,2026-05-14 23:39:51,no,"826,824,926,516,538,426","824,516,538,426,586,917",502E393F:6/1 E596179A(keeper):6/2,planned
2026-05-14,midday,post->pre,0251a000,2026-05-14 10:07:27,430453ce,2026-05-15 02:39:25,no,"825,824,518,578,081,287","798,197,147,824,287,081",587D7FFB(keeper):6/0 4BA8D179:6/0,planned
2026-05-19,midday,post->pre,0ea787b2,2026-05-19 11:39:20,0fb54cfd,2026-05-19 19:52:40,yes(same hash),"781,218,798,197,518,081","781,218,798,197,518,081",10B9CB1:6/1,planned
2026-05-22,allday,post->pre,3b13c752,2026-05-22 12:20:16,65fa6154,2026-05-22 21:22:25,no,"826,916,538,924,586,426","791,741,517,472,753,594",12 hashes; live 3903B67F:6/1; keeper 1ED79B11:6/0,planned
2026-05-22,midday,post->pre,b6e33f08,2026-05-22 12:20:16,bdc79104,2026-05-22 21:22:28,no,"781,218,197,198,974,573","124,471,127,218,210,034",7 hashes all 0 hits,planned
2026-05-27,allday,post->pre,a466b954,2026-05-27 13:41:50,5c3a7089,2026-05-27 14:39:27,yes(same hash),"476,741,104,743,982,267","476,741,104,743,982,267",D1EF6C5D:6/0 E1D158BB:6/1,planned
2026-05-27,midday,post->pre,48df28ab,2026-05-27 13:32:23,00c133bf,2026-05-27 14:39:21,yes(same hash),"263,761,746,649,568,423","263,761,746,649,568,423",CF661270:6/0 F90D4D4:6/0 29E7F8FF:6/2,planned
